Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Location 1
AT&T,CCL00001,Marshall Hale,1017,28,RM-2,80-E,Commercial,7,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,87,Jim Sidorick,925-277-6026,,"{'latitude': '37.786884', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.45489'}"
AT&T,CCL00002,Embarcadero,237,014/016,C-3-O,350-S,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,252,Jim Sidorick,925-277-6026,,"{'latitude': '37.793983', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39962'}"
AT&T,CCL00005,Mercy High School,7231,3,RH-1(D),40-X,Public,1,"voice, video & data",wireless phones & modems,12,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,67,Jim Sidorick,925-277-6026,,"{'latitude': '37.729811', 'needs_recoding': False, 'human_address': '{""address"":""19th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.47384'}"
AT&T,CCL00006,Bernal Heights ,3637,69,MISSION STREET,40-X/65-B,Commercial,6,"voice, video & data",wireless phones & modems,9,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,120,Jim Sidorick,925-277-6026,,"{'latitude': '37.755217', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41836'}"
AT&T,CCL00049,Marina Safeway ,503,30,RC-3,65-A/40-X,Commercial,4,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,127,Jim Sidorick,925-277-6026,,"{'latitude': '37.800865', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42503'}"
AT&T,CCL00057,Daly City,6071,2,P,40-X,Commercial,1,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,51,Jim Sidorick,925-277-6026,,"{'latitude': '37.718958', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4253'}"
AT&T,CCL00058,Alemany,5054,A009,NCS,40-X,Public,4,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,37,Jim Sidorick,925-277-6026,CCL04382 is a proposed replacement for CCL00058,"{'latitude': '37.714672', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39853'}"
AT&T,CCL00059,Sunset,2194,1,P,40-X,Commercial,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,70,Jim Sidorick,925-277-6026,,"{'latitude': '37.747594', 'needs_recoding': False, 'human_address': '{""address"":""20th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.48103'}"
AT&T,CCL00077,Japan Town,701,1,NC-3,50-A/65-A,Commercial,4,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,65,Jim Sidorick,925-277-6026,,"{'latitude': '37.785008', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.43281'}"
AT&T,CCL00078,Nob Hill,691,5,RC-4,130-V,Commercial,4,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,67,Jim Sidorick,925-277-6026,,"{'latitude': '37.787167', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42075'}"
AT&T,CCL00096,SF Civic Ctr,345,7,C-3-G,80-X,Public,N/A,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,68,Jim Sidorick,925-277-6026,,"{'latitude': '37.781975', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41498'}"
AT&T,CCL00099,Hwy 101 & Silver,5431A,12,M1,65-J,Commercial,N/A,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,72,Jim Sidorick,925-277-6026,,"{'latitude': '37.725883', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4012'}"
AT&T,CCL00100,SF_MTSO,3732,110,MUR,85-X/45-X,Commercial,4,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,62,Jim Sidorick,925-277-6026,,"{'latitude': '37.780247', 'needs_recoding': False, 'human_address': '{""address"":""21st"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40589'}"
AT&T,CCL00103,Balboa Bart,6949,11,P,160-E,Commercial,1,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Jim Sidorick,925-277-6026,CCL06173 is a proposed replacement for CCL00103,"{'latitude': '37.720781', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.44748'}"
AT&T,CCL00118,Chinatown,273,8,RC-4,65-A,Public,5,"voice, video & data",wireless phones & modems,12,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,54,Jim Sidorick,925-277-6026,,"{'latitude': '37.790134', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41013'}"
AT&T,CCL00127,Montgomery & 280,5869,13,NCD-Excelsior,40-X,Commercial,4,"voice, video & data",wireless phones & modems,12,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,30,Jim Sidorick,925-277-6026,,"{'latitude': '37.730467', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42894'}"
AT&T,CCL00139,101-280,5280,1,P,65-J,Commercial,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,56,Jim Sidorick,925-277-6026,,"{'latitude': '37.74024', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.3934'}"
AT&T,CCL00163,Market & 3rd,266,6,C-3-O,450-S,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,166,Jim Sidorick,925-277-6026,,"{'latitude': '37.791618', 'needs_recoding': False, 'human_address': '{""address"":""22nd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39945'}"
AT&T,CCL00171,New Mint,836,5,C-3-G,120/400-R-2,Public,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,15,Jim Sidorick,925-277-6026,CCL02159 is a proposed replacement for CCL00171,"{'latitude': '37.774988', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41987'}"
AT&T,CCL00181,SF Zoo/Lake Merced   ,7281,5,P,OS,Commercial,1,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,43,Jim Sidorick,925-277-6026,,"{'latitude': '37.727858', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.50346'}"
AT&T,CCL00199,Fisherman's  Wharf,56,007-008,C-2,65-X,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,78,Jim Sidorick,925-277-6026,,"{'latitude': '37.805497', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4055'}"
AT&T,CCL00418,San Francisco III,309,11,C-3-R,80-130-F,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,91,Jim Sidorick,925-277-6026,,"{'latitude': '37.787781', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40644'}"
AT&T,CCL00432,Laguna Honda,2842,7,P,40-X/OS/80-D,Public,1,"voice, video & data",wireless phones & modems,12,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,69,Jim Sidorick,925-277-6026,,"{'latitude': '37.747736', 'needs_recoding': False, 'human_address': '{""address"":""23rd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.45619'}"
AT&T,CCL00447,Army & 101,4280,25,P,40-X,Commercial,7,"voice, video & data",wireless phones & modems,9,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,42,Jim Sidorick,925-277-6026,,"{'latitude': '37.750944', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40267'}"
AT&T,CCL00452,Kezar Staduim,1206,3,RM-1,80-E,Commercial,7,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,90,Jim Sidorick,925-277-6026,,"{'latitude': '37.774122', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.44132'}"
