Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Location 1
AT&T,CCL01402,SF TRANSBAY TRANSIT CENTER,3718,26,C-3-O(SF),400-S,Commercial,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '30.811715', 'needs_recoding': False, 'human_address': '{""address"":""201 Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-95.109535'}"
AT&T,CCL02265,California & Front,TBD,TBD,TBD,TBD,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'needs_recoding': False, 'human_address': '{""address"":""TBD"",""city"":"""",""state"":"""",""zip"":""""}'}"
AT&T,CCL02351,Fulton & Stanyon,1145,3,RH-2,80-D,Residential,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '34.421496', 'needs_recoding': False, 'human_address': '{""address"":""2495 Golden Gate Avenue"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-119.59379'}"
AT&T,CCL02429,BRENTWOOD AVE/YERBA BUENA AVE,3553,14, PDR-1-G,68-X,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '34.008005', 'needs_recoding': False, 'human_address': '{""address"":""2940 16Th Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.466081'}"
AT&T,CCL03272,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'needs_recoding': False, 'human_address': '{""address"":""TBD"",""city"":"""",""state"":"""",""zip"":""""}'}"
AT&T,CCL03293,Anza Street,8711,28, MB-RA,MB-RA,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '32.693847', 'needs_recoding': False, 'human_address': '{""address"":""1201 Fourth Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-117.173321'}"
AT&T,CCL03332,RUSSIA AV & EDINBURGH,TBD,TBD,TBD,TBD,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '33.992761', 'needs_recoding': False, 'human_address': '{""address"":""540-542 San Juan Avenue"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-118.467874'}"
AT&T,CCL03636,SF-Site9,TBD,TBD,TBD,TBD,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'needs_recoding': False, 'human_address': '{""address"":""Presidio Park Near 2999 Vallejo Street"",""city"":"""",""state"":"""",""zip"":""""}'}"
AT&T,CCL04484,California & Maple St.,TBD,TBD,TBD,TBD,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'needs_recoding': False, 'human_address': '{""address"":""TBD"",""city"":"""",""state"":"""",""zip"":""""}'}"
AT&T,CCL05208,Baron Apartments,238,6,C-3-O,350-S,TBD,TBD,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE","700, 850, 1900,1700,2300",,,Jim Sidorick,925-277-6026,,"{'latitude': '37.793723', 'needs_recoding': False, 'human_address': '{""address"":""350 Sansome Street"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.401286'}"
