Sex,Age Group,First Year,Last Year,Rank,Cause of Death,Deaths
Females,<1 yrs,2008.0,2008.0,1.0,Congenital Anomalies,2671.0
Females,<1 yrs,2008.0,2008.0,2.0,Short Gestation,2077.0
Females,<1 yrs,2008.0,2008.0,3.0,SIDS,974.0
Females,<1 yrs,2008.0,2008.0,4.0,Maternal Pregnancy Comp.,755.0
Females,<1 yrs,2008.0,2008.0,5.0,Unintentional Injury,586.0
Females,<1 yrs,2008.0,2008.0,6.0,Placenta  Cord Membranes,503.0
Females,<1 yrs,2008.0,2008.0,7.0,Bacterial Sepsis,302.0
Females,<1 yrs,2008.0,2008.0,8.0,Circulatory System Disease,265.0
Females,<1 yrs,2008.0,2008.0,9.0,Respiratory Distress,249.0
Females,<1 yrs,2008.0,2008.0,10.0,Necrotizing Enterocolitis,233.0
Females,1-4 yrs,2008.0,2008.0,1.0,Unintentional Injury,566.0
Females,1-4 yrs,2008.0,2008.0,2.0,Congenital Anomalies,248.0
Females,1-4 yrs,2008.0,2008.0,3.0,Homicide,187.0
Females,1-4 yrs,2008.0,2008.0,4.0,Malignant Neoplasms,176.0
Females,1-4 yrs,2008.0,2008.0,5.0,Heart Disease,89.0
Females,1-4 yrs,2008.0,2008.0,6.0,Influenza & Pneumonia,73.0
Females,1-4 yrs,2008.0,2008.0,7.0,Septicemia,51.0
Females,1-4 yrs,2008.0,2008.0,8.0,Cerebrovascular,34.0
Females,1-4 yrs,2008.0,2008.0,9.0,Benign Neoplasms,25.0
Females,1-4 yrs,2008.0,2008.0,10.0,Perinatal Period,24.0
Females,5-9 yrs,2008.0,2008.0,1.0,Unintentional Injury,328.0
Females,5-9 yrs,2008.0,2008.0,2.0,Malignant Neoplasms,231.0
Females,5-9 yrs,2008.0,2008.0,3.0,Congenital Anomalies,77.0
Females,5-9 yrs,2008.0,2008.0,4.0,Homicide,51.0
Females,5-9 yrs,2008.0,2008.0,5.0,Heart Disease,44.0
Females,5-9 yrs,2008.0,2008.0,6.0,Benign Neoplasms,28.0
Females,5-9 yrs,2008.0,2008.0,7.0,Cerebrovascular,17.0
Females,5-9 yrs,2008.0,2008.0,8.0,Chronic Low. Respiratory Disease,16.0
Females,5-9 yrs,2008.0,2008.0,9.0,Influenza & Pneumonia,14.0
Females,5-9 yrs,2008.0,2008.0,9.0,Perinatal Period,14.0
Females,10-14 yrs,2008.0,2008.0,1.0,Unintentional Injury,342.0
Females,10-14 yrs,2008.0,2008.0,2.0,Malignant Neoplasms,205.0
Females,10-14 yrs,2008.0,2008.0,3.0,Congenital Anomalies,80.0
Females,10-14 yrs,2008.0,2008.0,4.0,Homicide,74.0
Females,10-14 yrs,2008.0,2008.0,5.0,Suicide,66.0
Females,10-14 yrs,2008.0,2008.0,6.0,Heart Disease,57.0
Females,10-14 yrs,2008.0,2008.0,7.0,Chronic Low. Respiratory Disease,34.0
Females,10-14 yrs,2008.0,2008.0,8.0,Cerebrovascular,31.0
Females,10-14 yrs,2008.0,2008.0,9.0,Influenza & Pneumonia,28.0
Females,10-14 yrs,2008.0,2008.0,10.0,Septicemia,20.0
Females,15-24 yrs,2008.0,2008.0,1.0,Unintentional Injury,3460.0
Females,15-24 yrs,2008.0,2008.0,2.0,Suicide,738.0
Females,15-24 yrs,2008.0,2008.0,3.0,Homicide,702.0
Females,15-24 yrs,2008.0,2008.0,4.0,Malignant Neoplasms,642.0
Females,15-24 yrs,2008.0,2008.0,5.0,Heart Disease,330.0
Females,15-24 yrs,2008.0,2008.0,6.0,Congenital Anomalies,182.0
Females,15-24 yrs,2008.0,2008.0,7.0,Complicated Pregnancy,169.0
Females,15-24 yrs,2008.0,2008.0,8.0,Influenza & Pneumonia,82.0
Females,15-24 yrs,2008.0,2008.0,9.0,Cerebrovascular,79.0
Females,15-24 yrs,2008.0,2008.0,10.0,HIV,78.0
Females,25-34 yrs,2008.0,2008.0,1.0,Unintentional Injury,3365.0
Females,25-34 yrs,2008.0,2008.0,2.0,Malignant Neoplasms,1751.0
Females,25-34 yrs,2008.0,2008.0,3.0,Heart Disease,1078.0
Females,25-34 yrs,2008.0,2008.0,4.0,Suicide,1027.0
Females,25-34 yrs,2008.0,2008.0,5.0,Homicide,715.0
Females,25-34 yrs,2008.0,2008.0,6.0,HIV,369.0
Females,25-34 yrs,2008.0,2008.0,7.0,Complicated Pregnancy,352.0
Females,25-34 yrs,2008.0,2008.0,8.0,Diabetes Mellitus,251.0
Females,25-34 yrs,2008.0,2008.0,9.0,Cerebrovascular,243.0
