"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Females","All Races,","<1 yrs","2010","2010","1","Congenital Anomalies","2489"
"United States","Females","All Races,","<1 yrs","2010","2010","2","Short Gestation","1829"
"United States","Females","All Races,","<1 yrs","2010","2010","3","SIDS","852"
"United States","Females","All Races,","<1 yrs","2010","2010","4","Maternal Pregnancy Comp.","705"
"United States","Females","All Races,","<1 yrs","2010","2010","5","Placenta  Cord Membranes","477"
"United States","Females","All Races,","<1 yrs","2010","2010","6","Unintentional Injury","473"
"United States","Females","All Races,","<1 yrs","2010","2010","7","Bacterial Sepsis","258"
"United States","Females","All Races,","<1 yrs","2010","2010","8","Circulatory System Disease","221"
"United States","Females","All Races,","<1 yrs","2010","2010","9","Respiratory Distress","202"
"United States","Females","All Races,","<1 yrs","2010","2010","10","Necrotizing Enterocolitis","194"
"United States","Females","All Races,","1-4 yrs","2010","2010","1","Unintentional Injury","526"
"United States","Females","All Races,","1-4 yrs","2010","2010","2","Congenital Anomalies","276"
"United States","Females","All Races,","1-4 yrs","2010","2010","3","Homicide","154"
"United States","Females","All Races,","1-4 yrs","2010","2010","4","Malignant Neoplasms","149"
"United States","Females","All Races,","1-4 yrs","2010","2010","5","Heart Disease","69"
"United States","Females","All Races,","1-4 yrs","2010","2010","6","Influenza & Pneumonia","41"
"United States","Females","All Races,","1-4 yrs","2010","2010","7","Septicemia","32"
"United States","Females","All Races,","1-4 yrs","2010","2010","8","Benign Neoplasms","27"
"United States","Females","All Races,","1-4 yrs","2010","2010","9","Cerebrovascular","24"
"United States","Females","All Races,","1-4 yrs","2010","2010","10","Chronic Low. Respiratory Disease","23"
"United States","Females","All Races,","5-9 yrs","2010","2010","1","Unintentional Injury","275"
"United States","Females","All Races,","5-9 yrs","2010","2010","2","Malignant Neoplasms","200"
"United States","Females","All Races,","5-9 yrs","2010","2010","3","Congenital Anomalies","82"
"United States","Females","All Races,","5-9 yrs","2010","2010","4","Homicide","49"
"United States","Females","All Races,","5-9 yrs","2010","2010","5","Heart Disease","34"
"United States","Females","All Races,","5-9 yrs","2010","2010","6","Influenza & Pneumonia","22"
"United States","Females","All Races,","5-9 yrs","2010","2010","7","Benign Neoplasms","20"
"United States","Females","All Races,","5-9 yrs","2010","2010","7","Cerebrovascular","20"
"United States","Females","All Races,","5-9 yrs","2010","2010","8","Chronic Low. Respiratory Disease","16"
"United States","Females","All Races,","5-9 yrs","2010","2010","8","Septicemia","16"
"United States","Females","All Races,","10-14 yrs","2010","2010","1","Unintentional Injury","316"
"United States","Females","All Races,","10-14 yrs","2010","2010","2","Malignant Neoplasms","234"
"United States","Females","All Races,","10-14 yrs","2010","2010","3","Suicide","87"
"United States","Females","All Races,","10-14 yrs","2010","2010","4","Congenital Anomalies","68"
"United States","Females","All Races,","10-14 yrs","2010","2010","5","Heart Disease","55"
"United States","Females","All Races,","10-14 yrs","2010","2010","6","Homicide","46"
"United States","Females","All Races,","10-14 yrs","2010","2010","7","Benign Neoplasms","27"
"United States","Females","All Races,","10-14 yrs","2010","2010","7","Chronic Low. Respiratory Disease","27"
"United States","Females","All Races,","10-14 yrs","2010","2010","8","Cerebrovascular","16"
"United States","Females","All Races,","10-14 yrs","2010","2010","8","Influenza & Pneumonia","16"
"United States","Females","All Races,","15-24 yrs","2010","2010","1","Unintentional Injury","3253"
"United States","Females","All Races,","15-24 yrs","2010","2010","2","Suicide","829"
"United States","Females","All Races,","15-24 yrs","2010","2010","3","Homicide","611"
"United States","Females","All Races,","15-24 yrs","2010","2010","4","Malignant Neoplasms","607"
"United States","Females","All Races,","15-24 yrs","2010","2010","5","Heart Disease","309"
"United States","Females","All Races,","15-24 yrs","2010","2010","6","Complicated Pregnancy","163"
"United States","Females","All Races,","15-24 yrs","2010","2010","7","Congenital Anomalies","161"
"United States","Females","All Races,","15-24 yrs","2010","2010","8","Cerebrovascular","83"
"United States","Females","All Races,","15-24 yrs","2010","2010","9","Influenza & Pneumonia","76"
"United States","Females","All Races,","15-24 yrs","2010","2010","10","Diabetes Mellitus","75"
"United States","Females","All Races,","25-34 yrs","2010","2010","1","Unintentional Injury","3770"
"United States","Females","All Races,","25-34 yrs","2010","2010","2","Malignant Neoplasms","1835"
"United States","Females","All Races,","25-34 yrs","2010","2010","3","Suicide","1092"
"United States","Females","All Races,","25-34 yrs","2010","2010","4","Heart Disease","1010"
"United States","Females","All Races,","25-34 yrs","2010","2010","5","Homicide","684"
"United States","Females","All Races,","25-34 yrs","2010","2010","6","Complicated Pregnancy","367"
"United States","Females","All Races,","25-34 yrs","2010","2010","7","Diabetes Mellitus","262"
"United States","Females","All Races,","25-34 yrs","2010","2010","8","HIV","259"
"United States","Females","All Races,","25-34 yrs","2010","2010","9","Cerebrovascular","253"
"United States","Females","All Races,","25-34 yrs","2010","2010","10","Liver Disease","180"
"United States","Females","All Races,","35-44 yrs","2010","2010","1","Malignant Neoplasms","6663"
"United States","Females","All Races,","35-44 yrs","2010","2010","2","Unintentional Injury","4596"
"United States","Females","All Races,","35-44 yrs","2010","2010","3","Heart Disease","3228"
"United States","Females","All Races,","35-44 yrs","2010","2010","4","Suicide","1538"
"United States","Females","All Races,","35-44 yrs","2010","2010","5","Cerebrovascular","875"
"United States","Females","All Races,","35-44 yrs","2010","2010","6","Liver Disease","811"
"United States","Females","All Races,","35-44 yrs","2010","2010","7","Diabetes Mellitus","728"
"United States","Females","All Races,","35-44 yrs","2010","2010","8","HIV","604"
"United States","Females","All Races,","35-44 yrs","2010","2010","9","Homicide","595"
"United States","Females","All Races,","35-44 yrs","2010","2010","10","Chronic Low. Respiratory Disease","375"
"United States","Females","All Races,","45-54 yrs","2010","2010","1","Malignant Neoplasms","25023"
"United States","Females","All Races,","45-54 yrs","2010","2010","2","Heart Disease","10642"
"United States","Females","All Races,","45-54 yrs","2010","2010","3","Unintentional Injury","6489"
"United States","Females","All Races,","45-54 yrs","2010","2010","4","Liver Disease","2755"
"United States","Females","All Races,","45-54 yrs","2010","2010","5","Cerebrovascular","2611"
