"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Males","All Races,","<1 yrs","2011","2011","1","Congenital Anomalies","2630"
"United States","Males","All Races,","<1 yrs","2011","2011","2","Short Gestation","2273"
"United States","Males","All Races,","<1 yrs","2011","2011","3","SIDS","1108"
"United States","Males","All Races,","<1 yrs","2011","2011","4","Maternal Pregnancy Comp.","904"
"United States","Males","All Races,","<1 yrs","2011","2011","5","Unintentional Injury","647"
"United States","Males","All Races,","<1 yrs","2011","2011","6","Placenta  Cord Membranes","548"
"United States","Males","All Races,","<1 yrs","2011","2011","7","Bacterial Sepsis","293"
"United States","Males","All Races,","<1 yrs","2011","2011","8","Respiratory Distress","276"
"United States","Males","All Races,","<1 yrs","2011","2011","9","Circulatory System Disease","268"
"United States","Males","All Races,","<1 yrs","2011","2011","10","Neonatal Hemorrhage","266"
"United States","Males","All Races,","1-4 yrs","2011","2011","1","Unintentional Injury","839"
"United States","Males","All Races,","1-4 yrs","2011","2011","2","Congenital Anomalies","266"
"United States","Males","All Races,","1-4 yrs","2011","2011","3","Homicide","239"
"United States","Males","All Races,","1-4 yrs","2011","2011","4","Malignant Neoplasms","183"
"United States","Males","All Races,","1-4 yrs","2011","2011","5","Heart Disease","84"
"United States","Males","All Races,","1-4 yrs","2011","2011","6","Influenza & Pneumonia","55"
"United States","Males","All Races,","1-4 yrs","2011","2011","7","Chronic Low. Respiratory Disease","37"
"United States","Males","All Races,","1-4 yrs","2011","2011","8","Cerebrovascular","29"
"United States","Males","All Races,","1-4 yrs","2011","2011","9","Benign Neoplasms","26"
"United States","Males","All Races,","1-4 yrs","2011","2011","9","Septicemia","26"
"United States","Males","All Races,","5-9 yrs","2011","2011","1","Unintentional Injury","461"
"United States","Males","All Races,","5-9 yrs","2011","2011","2","Malignant Neoplasms","244"
"United States","Males","All Races,","5-9 yrs","2011","2011","3","Congenital Anomalies","109"
"United States","Males","All Races,","5-9 yrs","2011","2011","4","Homicide","75"
"United States","Males","All Races,","5-9 yrs","2011","2011","5","Chronic Low. Respiratory Disease","44"
"United States","Males","All Races,","5-9 yrs","2011","2011","6","Heart Disease","38"
"United States","Males","All Races,","5-9 yrs","2011","2011","7","Influenza & Pneumonia","32"
"United States","Males","All Races,","5-9 yrs","2011","2011","8","Benign Neoplasms","19"
"United States","Males","All Races,","5-9 yrs","2011","2011","8","Cerebrovascular","19"
"United States","Males","All Races,","5-9 yrs","2011","2011","9","Anemias","15"
"United States","Males","All Races,","10-14 yrs","2011","2011","1","Unintentional Injury","572"
"United States","Males","All Races,","10-14 yrs","2011","2011","2","Malignant Neoplasms","239"
"United States","Males","All Races,","10-14 yrs","2011","2011","3","Suicide","197"
"United States","Males","All Races,","10-14 yrs","2011","2011","4","Homicide","103"
"United States","Males","All Races,","10-14 yrs","2011","2011","5","Congenital Anomalies","89"
"United States","Males","All Races,","10-14 yrs","2011","2011","6","Heart Disease","57"
"United States","Males","All Races,","10-14 yrs","2011","2011","7","Chronic Low. Respiratory Disease","43"
"United States","Males","All Races,","10-14 yrs","2011","2011","8","Influenza & Pneumonia","31"
"United States","Males","All Races,","10-14 yrs","2011","2011","9","Cerebrovascular","27"
"United States","Males","All Races,","10-14 yrs","2011","2011","10","Septicemia","20"
"United States","Males","All Races,","15-24 yrs","2011","2011","1","Unintentional Injury","9172"
"United States","Males","All Races,","15-24 yrs","2011","2011","2","Suicide","3959"
"United States","Males","All Races,","15-24 yrs","2011","2011","3","Homicide","3941"
"United States","Males","All Races,","15-24 yrs","2011","2011","4","Malignant Neoplasms","966"
"United States","Males","All Races,","15-24 yrs","2011","2011","5","Heart Disease","684"
"United States","Males","All Races,","15-24 yrs","2011","2011","6","Congenital Anomalies","275"
"United States","Males","All Races,","15-24 yrs","2011","2011","7","Influenza & Pneumonia","123"
"United States","Males","All Races,","15-24 yrs","2011","2011","8","Chronic Low. Respiratory Disease","117"
"United States","Males","All Races,","15-24 yrs","2011","2011","9","Cerebrovascular","104"
"United States","Males","All Races,","15-24 yrs","2011","2011","10","Diabetes Mellitus","101"
"United States","Males","All Races,","25-34 yrs","2011","2011","1","Unintentional Injury","11426"
"United States","Males","All Races,","25-34 yrs","2011","2011","2","Suicide","4862"
"United States","Males","All Races,","25-34 yrs","2011","2011","3","Homicide","3499"
"United States","Males","All Races,","25-34 yrs","2011","2011","4","Heart Disease","2210"
"United States","Males","All Races,","25-34 yrs","2011","2011","5","Malignant Neoplasms","1713"
"United States","Males","All Races,","25-34 yrs","2011","2011","6","HIV","428"
"United States","Males","All Races,","25-34 yrs","2011","2011","7","Diabetes Mellitus","388"
"United States","Males","All Races,","25-34 yrs","2011","2011","8","Liver Disease","306"
"United States","Males","All Races,","25-34 yrs","2011","2011","9","Influenza & Pneumonia","290"
"United States","Males","All Races,","25-34 yrs","2011","2011","10","Cerebrovascular","284"
"United States","Males","All Races,","35-44 yrs","2011","2011","1","Unintentional Injury","10459"
"United States","Males","All Races,","35-44 yrs","2011","2011","2","Heart Disease","7393"
"United States","Males","All Races,","35-44 yrs","2011","2011","3","Suicide","5044"
