Rank,Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales
1,Wii Sports,0,0,41.49,29.02,3.77
2,Super Mario Bros.,1,1,29.08,3.58,6.81
3,Mario Kart Wii,0,2,15.85,12.88,3.79
4,Wii Sports Resort,0,0,15.75,11.01,3.28
5,Pokemon Red/Pokemon Blue,2,3,11.27,8.89,10.22
6,Tetris,2,4,23.2,2.26,4.22
7,New Super Mario Bros.,3,1,11.38,9.23,6.5
8,Wii Play,0,5,14.03,9.2,2.93
9,New Super Mario Bros. Wii,0,1,14.59,7.06,4.7
10,Duck Hunt,1,6,26.93,0.63,0.28
11,Nintendogs,3,7,9.07,11.0,1.93
12,Mario Kart DS,3,2,9.81,7.57,4.13
13,Pokemon Gold/Pokemon Silver,2,3,9.0,6.18,7.2
14,Wii Fit,0,0,8.94,8.03,3.6
15,Wii Fit Plus,0,0,9.09,8.59,2.53
16,Kinect Adventures!,4,5,14.97,4.94,0.24
17,Grand Theft Auto V,5,8,7.01,9.27,0.97
18,Grand Theft Auto: San Andreas,6,8,9.43,0.4,0.41
19,Super Mario World,7,1,12.78,3.75,3.54
20,Brain Age: Train Your Brain in Minutes a Day,3,5,4.75,9.26,4.16
21,Pokemon Diamond/Pokemon Pearl,3,3,6.42,4.52,6.04
22,Super Mario Land,2,1,10.83,2.71,4.18
23,Super Mario Bros. 3,1,1,9.54,3.44,3.84
24,Grand Theft Auto V,4,8,9.63,5.31,0.06
25,Grand Theft Auto: Vice City,6,8,8.41,5.49,0.47
26,Pokemon Ruby/Pokemon Sapphire,8,3,6.06,3.9,5.38
27,Pokemon Black/Pokemon White,3,3,5.57,3.28,5.65
28,Brain Age 2: More Training in Minutes a Day,3,4,3.44,5.36,5.32
29,Gran Turismo 3: A-Spec,6,2,6.85,5.09,1.87
30,Call of Duty: Modern Warfare 3,4,6,9.03,4.28,0.13
31,Pokémon Yellow: Special Pikachu Edition,2,3,5.89,5.04,3.12
32,Call of Duty: Black Ops,4,6,9.67,3.73,0.11
33,Pokemon X/Pokemon Y,9,3,5.17,4.05,4.34
34,Call of Duty: Black Ops 3,10,6,5.77,5.81,0.35
35,Call of Duty: Black Ops II,5,6,4.99,5.88,0.65
36,Call of Duty: Black Ops II,4,6,8.25,4.3,0.07
37,Call of Duty: Modern Warfare 2,4,6,8.52,3.63,0.08
38,Call of Duty: Modern Warfare 3,5,6,5.54,5.82,0.49
39,Grand Theft Auto III,6,8,6.99,4.51,0.3
40,Super Smash Bros. Brawl,0,9,6.75,2.61,2.66
41,Call of Duty: Black Ops,5,6,5.98,4.44,0.48
42,Animal Crossing: Wild World,3,7,2.55,3.52,5.33
43,Mario Kart 7,9,2,4.74,3.91,2.67
44,Halo 3,4,6,7.97,2.83,0.13
45,Grand Theft Auto V,10,8,3.8,5.81,0.36
46,Pokemon HeartGold/Pokemon SoulSilver,3,8,4.4,2.77,3.96
47,Super Mario 64,11,1,6.91,2.85,1.91
48,Gran Turismo 4,6,2,3.01,0.01,1.1
49,Super Mario Galaxy,0,1,6.16,3.4,1.2
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,9,3,4.23,3.37,3.08
51,Super Mario Land 2: 6 Golden Coins,2,10,6.16,2.04,2.69
52,Grand Theft Auto IV,4,8,6.76,3.1,0.14
53,Gran Turismo,12,2,4.02,3.87,2.54
54,Super Mario 3D Land,9,1,4.89,2.99,2.13
55,Gran Turismo 5,5,2,2.96,4.88,0.81
56,Call of Duty: Modern Warfare 2,5,6,4.99,3.69,0.38
57,Grand Theft Auto IV,5,8,4.76,3.76,0.44
58,Super Mario All-Stars,7,1,5.99,2.15,2.12
59,Pokemon FireRed/Pokemon LeafGreen,8,3,4.34,2.65,3.15
60,Super Mario 64,3,1,5.08,3.11,1.25
61,Just Dance 3,0,5,6.05,3.15,0.0
62,Call of Duty: Ghosts,4,6,6.72,2.63,0.04
63,Halo: Reach,4,6,7.03,1.98,0.08
64,Mario Kart 64,11,2,5.55,1.94,2.23
65,New Super Mario Bros. 2,9,1,3.66,3.07,2.47
66,Halo 4,4,6,6.63,2.36,0.04
67,Final Fantasy VII,12,3,3.01,2.47,3.28
68,Call of Duty: Ghosts,5,6,4.09,3.73,0.38
69,Just Dance 2,0,5,5.84,2.89,0.01
70,Gran Turismo 2,12,2,3.88,3.42,1.69
71,Call of Duty 4: Modern Warfare,4,6,5.91,2.38,0.13
72,Donkey Kong Country,7,1,4.36,1.71,3.0
73,Minecraft,4,5,5.58,2.83,0.02
74,Animal Crossing: New Leaf,9,7,2.01,2.32,4.36
75,Mario Party DS,3,5,4.46,1.88,1.98
76,The Elder Scrolls V: Skyrim,4,3,5.03,2.86,0.1
77,Super Mario Kart,7,2,3.54,1.24,3.81
78,FIFA 16,10,0,1.11,6.06,0.06
79,Wii Party,0,5,1.79,3.53,2.49
80,Halo 2,13,6,6.82,1.53,0.05
81,Mario Party 8,0,5,3.81,2.3,1.58
82,Pokemon Black 2/Pokemon White 2,3,3,2.91,1.86,3.14
83,FIFA Soccer 13,5,8,1.06,5.05,0.13
84,The Sims 3,14,7,0.98,6.42,0.0
85,GoldenEye 007,11,6,5.8,2.01,0.13
86,Mario & Sonic at the Olympic Games,0,0,2.58,3.9,0.66
87,Final Fantasy X,6,3,2.91,2.07,2.73
88,Final Fantasy VIII,12,3,2.28,1.72,3.63
89,Pokémon Platinum Version,3,3,2.82,1.78,2.69
90,Pac-Man,15,4,7.28,0.45,0.0
91,Grand Theft Auto: Liberty City Stories,16,8,2.9,2.83,0.24
92,Super Mario Galaxy 2,0,1,3.66,2.42,0.98
93,Star Wars Battlefront (2015),10,6,2.93,3.29,0.22
94,Call of Duty: Advanced Warfare,10,6,2.8,3.3,0.14
95,The Legend of Zelda: Ocarina of Time,11,8,4.1,1.89,1.45
96,Crash Bandicoot 2: Cortex Strikes Back,12,1,3.78,2.17,1.31
97,Super Mario Bros. 2,1,1,5.39,1.18,0.7
98,Super Smash Bros. for Wii U and 3DS,9,9,3.24,1.35,2.42
99,Call of Duty: World at War,4,6,4.79,1.9,0.0
100,Battlefield 3,4,6,4.46,2.13,0.06
101,The Legend of Zelda: Twilight Princess,0,8,3.83,2.19,0.6
102,Call of Duty: Black Ops 3,17,6,4.52,2.09,0.01
103,Just Dance,0,5,3.51,3.03,0.0
104,Battlefield 3,5,6,2.85,2.93,0.35
105,Need for Speed Underground,6,2,3.27,2.83,0.08
106,Tekken 3,12,9,3.27,2.22,1.4
107,Crash Bandicoot 3: Warped,12,1,3.68,1.75,1.42
108,Super Smash Bros. Melee,18,9,4.41,1.04,1.39
109,Mario Kart 8,19,2,3.13,2.07,1.27
110,Fallout 4,10,3,2.47,3.15,0.24
111,Mario Kart: Double Dash!!,18,2,4.12,1.77,0.87
112,Just Dance 4,0,5,4.14,2.21,0.0
113,FIFA 14,5,0,0.78,4.32,0.07
114,Need for Speed Underground 2,6,2,2.71,3.02,0.08
115,Medal of Honor: Frontline,6,6,2.93,2.75,0.17
116,Uncharted 3: Drake's Deception,5,8,2.77,2.8,0.19
117,Crash Bandicoot,12,1,3.23,2.35,0.94
118,Zumba Fitness,0,0,3.5,2.64,0.0
119,Gears of War 2,4,6,4.15,1.92,0.06
120,Uncharted 2: Among Thieves,5,8,3.27,2.25,0.21
121,Call of Duty 4: Modern Warfare,5,6,3.1,2.3,0.28
122,FIFA 12,5,0,0.84,4.32,0.11
123,Big Brain Academy,3,5,1.67,2.78,1.6
124,Red Dead Redemption,5,8,2.79,2.61,0.17
125,FIFA 15,10,0,0.79,4.29,0.05
126,Donkey Kong Country Returns,0,1,3.25,1.84,1.03
127,The Elder Scrolls V: Skyrim,5,3,2.55,2.71,0.25
128,The Legend of Zelda,1,8,3.74,0.93,1.69
129,Assassin's Creed III,5,8,2.64,2.56,0.16
130,Halo: Combat Evolved,13,6,4.98,1.3,0.08
131,Pokémon Emerald Version,8,3,2.57,1.58,2.06
132,Kingdom Hearts,6,3,3.64,1.2,1.49
133,Pokémon Crystal Version,2,3,2.55,1.56,1.29
134,Halo 3: ODST,4,6,4.34,1.35,0.06
135,Red Dead Redemption,4,8,3.7,1.97,0.09
136,Super Mario Sunshine,18,1,4.01,1.26,0.87
137,Street Fighter II: The World Warrior,7,9,2.47,0.83,2.87
138,World of Warcraft,14,3,0.07,6.21,0.0
139,Driver,12,8,3.11,2.8,0.02
140,Kinect Sports,4,0,3.92,1.78,0.03
141,Gears of War 3,4,6,4.05,1.62,0.07
142,Gears of War,4,6,3.54,1.9,0.07
143,Metal Gear Solid 2: Sons of Liberty,6,8,2.45,2.01,0.87
144,Sonic the Hedgehog 2,20,1,4.47,1.2,0.16
145,Metal Gear Solid 4: Guns of the Patriots,5,8,2.63,1.74,0.83
146,Metal Gear Solid,12,8,3.18,1.83,0.78
147,The Last of Us,5,8,2.41,2.28,0.28
148,Final Fantasy XII,6,3,1.88,0.0,2.33
149,LittleBigPlanet,5,1,2.8,2.05,0.17
150,Dragon Quest IX: Sentinels of the Starry Skies,3,3,0.66,0.69,4.35
151,LEGO Star Wars: The Complete Saga,0,8,3.66,1.63,0.0
152,Resident Evil 2,12,8,1.88,1.47,2.02
153,Tekken 2,12,9,2.26,1.89,1.36
154,Cooking Mama,3,7,3.13,1.94,0.07
155,Destiny,10,6,2.49,2.05,0.16
156,Tetris,1,4,2.97,0.69,1.81
157,Assassin's Creed II,5,8,2.54,1.95,0.21
158,Super Smash Bros.,11,9,2.95,0.6,1.97
159,Assassin's Creed,4,10,3.28,1.65,0.07
160,Batman: Arkham City,5,8,2.7,1.91,0.11
161,Forza Motorsport 3,4,2,2.99,1.92,0.1
162,Monster Hunter Freedom Unite,16,3,0.47,0.57,4.13
163,Super Mario Advance,8,1,3.14,1.24,0.91
164,Mario Kart: Super Circuit,8,2,2.62,1.64,0.99
165,Super Mario World,8,1,3.21,1.11,0.95
166,Pokemon Stadium,11,11,3.18,1.24,0.94
167,Call of Duty: World at War,5,6,2.72,1.87,0.0
168,Crash Bandicoot: The Wrath of Cortex,6,1,2.07,2.29,0.24
169,Minecraft,5,5,1.97,2.51,0.0
170,Final Fantasy XIII,5,3,1.74,1.24,1.87
171,Dr. Mario,2,4,2.18,0.96,2.0
172,Pokemon Pinball,2,5,3.02,1.12,1.01
173,Assassin's Creed III,4,8,3.13,1.71,0.03
174,Final Fantasy IX,12,3,1.62,0.77,2.78
175,Final Fantasy X-2,6,3,1.92,1.08,2.11
176,Donkey Kong 64,11,1,3.33,0.79,1.09
177,Assassin's Creed II,4,8,3.1,1.56,0.08
178,Professor Layton and the Curious Village,3,4,1.22,2.48,1.03
179,Tomb Raider II,12,8,2.3,2.46,0.2
180,Madden NFL 2004,6,0,4.26,0.26,0.01
181,Dragon Quest VIII: Journey of the Cursed King,6,3,0.65,0.75,3.61
182,Diablo III,14,3,2.43,2.15,0.0
183,Super Mario Bros. 3,8,1,2.93,1.25,0.83
184,New Super Mario Bros. U,19,1,2.32,1.3,1.27
185,Super Mario Land 3: Wario Land,2,1,2.49,0.98,1.57
186,FIFA Soccer 13,4,8,1.08,3.48,0.03
187,The Legend of Zelda: Phantom Hourglass,3,8,1.9,1.83,0.95
188,Donkey Kong Country 2: Diddy's Kong Quest,7,1,2.1,0.74,2.2
189,Tomodachi Life,9,7,0.96,2.02,1.89
190,Mario & Sonic at the Olympic Games,3,0,1.64,2.48,0.44
191,Medal of Honor: Rising Sun,6,6,1.98,2.23,0.13
192,Kirby's Dream Land,2,1,2.71,0.61,1.7
193,Fable III,4,3,3.59,1.11,0.05
194,Call of Duty: Advanced Warfare,17,6,3.21,1.53,0.01
195,Microsoft Flight Simulator,14,7,3.22,1.69,0.0
196,Guitar Hero II,6,5,3.81,0.63,0.0
197,Resident Evil 5,5,8,1.96,1.43,1.08
198,Grand Theft Auto V,17,8,2.66,2.01,0.0
199,Grand Theft Auto: Vice City Stories,16,8,1.7,2.02,0.16
200,FIFA Soccer 11,5,0,0.6,3.29,0.06
201,Super Mario Bros.,2,1,3.4,1.3,0.15
202,Resident Evil,12,8,2.05,1.16,1.11
203,Tony Hawk's Pro Skater,12,0,3.42,1.38,0.02
204,Super Smash Bros. for Wii U and 3DS,19,9,2.59,1.06,0.8
205,Warzone 2100,12,11,2.79,1.89,0.0
206,Spyro the Dragon,12,1,3.36,1.36,0.07
207,Link's Crossbow Training,0,6,3.06,1.18,0.29
208,Guitar Hero III: Legends of Rock,6,5,3.49,0.01,0.01
209,Fallout 3,4,3,3.39,1.03,0.09
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,3,3,1.85,1.2,1.54
211,Uncharted: Drake's Fortune,5,8,2.31,1.73,0.12
212,Madden NFL 06,6,0,3.98,0.26,0.01
213,LEGO Star Wars: The Complete Saga,3,8,2.89,1.54,0.0
214,Diddy Kong Racing,11,2,2.91,0.99,0.89
215,Monster Hunter Freedom 3,16,3,0.0,0.0,4.87
216,Dr. Mario,1,4,2.62,0.6,1.52
217,God of War III,5,8,2.74,1.36,0.12
218,StarCraft II: Wings of Liberty,14,11,2.56,1.68,0.0
219,Assassin's Creed,5,10,1.91,2.0,0.09
220,FIFA 15,5,0,0.57,3.14,0.04
221,Crash Team Racing,12,2,2.57,1.57,0.44
222,FIFA 17,10,0,0.28,3.75,0.06
223,Batman: Arkham City,4,8,2.99,1.31,0.04
224,Driver 2,12,8,2.36,2.1,0.02
225,The Simpsons: Hit & Run,6,2,1.73,2.19,0.0
