Rank,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
1,Wii,Sports,41.49,29.02,3.77,8.46
2,NES,Platform,29.08,3.58,6.81,0.77
3,Wii,Racing,15.85,12.88,3.79,3.31
4,Wii,Sports,15.75,11.01,3.28,2.96
5,GB,Role-Playing,11.27,8.89,10.22,1.0
6,GB,Puzzle,23.2,2.26,4.22,0.58
7,DS,Platform,11.38,9.23,6.5,2.9
8,Wii,Misc,14.03,9.2,2.93,2.85
9,Wii,Platform,14.59,7.06,4.7,2.26
10,NES,Shooter,26.93,0.63,0.28,0.47
11,DS,Simulation,9.07,11.0,1.93,2.75
12,DS,Racing,9.81,7.57,4.13,1.92
13,GB,Role-Playing,9.0,6.18,7.2,0.71
14,Wii,Sports,8.94,8.03,3.6,2.15
15,Wii,Sports,9.09,8.59,2.53,1.79
16,X360,Misc,14.97,4.94,0.24,1.67
17,PS3,Action,7.01,9.27,0.97,4.14
18,PS2,Action,9.43,0.4,0.41,10.57
19,SNES,Platform,12.78,3.75,3.54,0.55
20,DS,Misc,4.75,9.26,4.16,2.05
21,DS,Role-Playing,6.42,4.52,6.04,1.37
22,GB,Platform,10.83,2.71,4.18,0.42
23,NES,Platform,9.54,3.44,3.84,0.46
24,X360,Action,9.63,5.31,0.06,1.38
25,PS2,Action,8.41,5.49,0.47,1.78
26,GBA,Role-Playing,6.06,3.9,5.38,0.5
27,DS,Role-Playing,5.57,3.28,5.65,0.82
28,DS,Puzzle,3.44,5.36,5.32,1.18
29,PS2,Racing,6.85,5.09,1.87,1.16
30,X360,Shooter,9.03,4.28,0.13,1.32
31,GB,Role-Playing,5.89,5.04,3.12,0.59
32,X360,Shooter,9.67,3.73,0.11,1.13
33,3DS,Role-Playing,5.17,4.05,4.34,0.79
34,PS4,Shooter,5.77,5.81,0.35,2.31
35,PS3,Shooter,4.99,5.88,0.65,2.52
36,X360,Shooter,8.25,4.3,0.07,1.12
37,X360,Shooter,8.52,3.63,0.08,1.29
38,PS3,Shooter,5.54,5.82,0.49,1.62
39,PS2,Action,6.99,4.51,0.3,1.3
40,Wii,Fighting,6.75,2.61,2.66,1.02
41,PS3,Shooter,5.98,4.44,0.48,1.83
42,DS,Simulation,2.55,3.52,5.33,0.88
43,3DS,Racing,4.74,3.91,2.67,0.89
44,X360,Shooter,7.97,2.83,0.13,1.21
45,PS4,Action,3.8,5.81,0.36,2.02
46,DS,Action,4.4,2.77,3.96,0.77
47,N64,Platform,6.91,2.85,1.91,0.23
48,PS2,Racing,3.01,0.01,1.1,7.53
49,Wii,Platform,6.16,3.4,1.2,0.76
50,3DS,Role-Playing,4.23,3.37,3.08,0.65
51,GB,Adventure,6.16,2.04,2.69,0.29
52,X360,Action,6.76,3.1,0.14,1.03
53,PS,Racing,4.02,3.87,2.54,0.52
54,3DS,Platform,4.89,2.99,2.13,0.78
55,PS3,Racing,2.96,4.88,0.81,2.12
56,PS3,Shooter,4.99,3.69,0.38,1.63
57,PS3,Action,4.76,3.76,0.44,1.62
58,SNES,Platform,5.99,2.15,2.12,0.29
59,GBA,Role-Playing,4.34,2.65,3.15,0.35
60,DS,Platform,5.08,3.11,1.25,0.98
61,Wii,Misc,6.05,3.15,0.0,1.07
62,X360,Shooter,6.72,2.63,0.04,0.82
63,X360,Shooter,7.03,1.98,0.08,0.78
64,N64,Racing,5.55,1.94,2.23,0.15
65,3DS,Platform,3.66,3.07,2.47,0.63
66,X360,Shooter,6.63,2.36,0.04,0.73
67,PS,Role-Playing,3.01,2.47,3.28,0.96
68,PS3,Shooter,4.09,3.73,0.38,1.38
69,Wii,Misc,5.84,2.89,0.01,0.78
70,PS,Racing,3.88,3.42,1.69,0.5
71,X360,Shooter,5.91,2.38,0.13,0.9
